method_id,alpha,config,year,net_profit
Q1-B1,0.0,,2024,2486173.25
Q1-B1,0.0,,2025,3629425.75
Q1-B1,0.0,,2026,3520718.75
Q1-B1,0.0,,2027,2527951.25
Q1-B1,0.0,,2028,3705801.25
Q1-B1,0.0,,2029,3551551.25
Q1-B1,0.0,,2030,2531631.25
Q1-M1,0.0,share0_k3,2024,5880318.997417999
Q1-M1,0.0,share0_k3,2025,5581174.2480159905
Q1-M1,0.0,share0_k3,2026,5859532.840157114
Q1-M1,0.0,share0_k3,2027,5829313.52120314
Q1-M1,0.0,share0_k3,2028,5566995.315434516
Q1-M1,0.0,share0_k3,2029,5875637.432316783
Q1-M1,0.0,share0_k3,2030,5824270.915014708
Q1-M1,0.0,share10_k3,2024,5788901.0902998345
Q1-M1,0.0,share10_k3,2025,5578421.19476239
Q1-M1,0.0,share10_k3,2026,5741498.275381666
Q1-M1,0.0,share10_k3,2027,5792596.796747967
Q1-M1,0.0,share10_k3,2028,5635805.144532881
Q1-M1,0.0,share10_k3,2029,5783972.740344412
Q1-M1,0.0,share10_k3,2030,5802666.897237475
Q1-B1,0.5,,2024,4839349.5
Q1-B1,0.5,,2025,6074877.0
Q1-B1,0.5,,2026,6126538.125
Q1-B1,0.5,,2027,4859528.125
Q1-B1,0.5,,2028,6329178.125
Q1-B1,0.5,,2029,5822993.75
Q1-B1,0.5,,2030,4949953.75
Q1-M1,0.5,share0_k3,2024,9848983.215311006
Q1-M1,0.5,share0_k3,2025,7664176.543062201
Q1-M1,0.5,share0_k3,2026,9349070.346889954
Q1-M1,0.5,share0_k3,2027,9812279.908293461
Q1-M1,0.5,share0_k3,2028,7630721.022727272
Q1-M1,0.5,share0_k3,2029,9336684.014102241
Q1-M1,0.5,share0_k3,2030,9790167.93062201
Q1-M1,0.5,share10_k3,2024,9846500.399043735
Q1-M1,0.5,share10_k3,2025,7663701.307017544
Q1-M1,0.5,share10_k3,2026,9370863.125
Q1-M1,0.5,share10_k3,2027,9786447.0625
Q1-M1,0.5,share10_k3,2028,7655944.931818182
Q1-M1,0.5,share10_k3,2029,9383587.455143541
Q1-M1,0.5,share10_k3,2030,9803183.658293461
