year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,4,8.0
2024,单季,A1,平旱地,7,72.0
2025,单季,A1,平旱地,2,72.0
2025,单季,A1,平旱地,12,8.0
2026,单季,A1,平旱地,7,80.0
2027,单季,A1,平旱地,4,30.05
2027,单季,A1,平旱地,6,33.586363636363636
2027,单季,A1,平旱地,13,16.363636363636363
2028,单季,A1,平旱地,2,49.95
2028,单季,A1,平旱地,7,30.049999999999997
2029,单季,A1,平旱地,6,63.636363636363654
2029,单季,A1,平旱地,13,16.36363636363635
2030,单季,A1,平旱地,4,30.05
2030,单季,A1,平旱地,7,49.95
2024,单季,A2,平旱地,6,55.0
2025,单季,A2,平旱地,2,15.600000000000005
2025,单季,A2,平旱地,4,39.399999999999984
2026,单季,A2,平旱地,7,54.99999999999999
2027,单季,A2,平旱地,6,55.0
2028,单季,A2,平旱地,2,5.5
2028,单季,A2,平旱地,4,49.5
2029,单季,A2,平旱地,7,42.75
2029,单季,A2,平旱地,12,12.25
2030,单季,A2,平旱地,6,38.63636363636364
2030,单季,A2,平旱地,13,16.363636363636363
2024,单季,A3,平旱地,6,6.936363636363637
2024,单季,A3,平旱地,12,11.7
2024,单季,A3,平旱地,13,16.363636363636363
2025,单季,A3,平旱地,2,35.0
2026,单季,A3,平旱地,6,16.35
2026,单季,A3,平旱地,13,18.65
2027,单季,A3,平旱地,7,35.0
2028,单季,A3,平旱地,4,35.0
2029,单季,A3,平旱地,7,35.0
2030,单季,A3,平旱地,6,35.0
2024,单季,A4,平旱地,6,72.0
2025,单季,A4,平旱地,7,48.43636363636364
2025,单季,A4,平旱地,12,7.2
2025,单季,A4,平旱地,13,16.363636363636363
2026,单季,A4,平旱地,2,53.4
2026,单季,A4,平旱地,4,18.6
2027,单季,A4,平旱地,6,29.250000000000007
2027,单季,A4,平旱地,7,42.74999999999999
2028,单季,A4,平旱地,12,72.0
2029,单季,A4,平旱地,4,72.0
2030,单季,A4,平旱地,7,72.0
2024,单季,A5,平旱地,6,68.0
2025,单季,A5,平旱地,7,68.0
2026,单季,A5,平旱地,4,68.0
2027,单季,A5,平旱地,6,56.3
2027,单季,A5,平旱地,12,11.7
2028,单季,A5,平旱地,7,51.63636363636364
2028,单季,A5,平旱地,13,16.363636363636363
2029,单季,A5,平旱地,2,53.4
2029,单季,A5,平旱地,4,14.600000000000001
2030,单季,A5,平旱地,6,56.3
2030,单季,A5,平旱地,12,11.7
2024,单季,A6,平旱地,7,55.0
2025,单季,A6,平旱地,4,55.0
2026,单季,A6,平旱地,6,43.3
2026,单季,A6,平旱地,12,11.700000000000003
2027,单季,A6,平旱地,7,55.0
2028,单季,A6,平旱地,2,45.1
2028,单季,A6,平旱地,4,9.899999999999997
2029,单季,A6,平旱地,7,55.0
2030,单季,A6,平旱地,6,55.0
2024,单季,B1,梯田,2,6.0
2024,单季,B1,梯田,3,54.0
2025,单季,B1,梯田,8,60.0
2026,单季,B1,梯田,6,60.0
2027,单季,B1,梯田,2,60.0
2028,单季,B1,梯田,3,6.0
2028,单季,B1,梯田,6,54.0
2029,单季,B1,梯田,8,54.0
2029,单季,B1,梯田,14,6.0
2030,单季,B1,梯田,2,60.0
2024,单季,B2,梯田,9,46.0
2025,单季,B2,梯田,8,46.0
2026,单季,B2,梯田,3,46.0
2027,单季,B2,梯田,6,4.6000000000000005
