year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,1,9.32306321392199
2024,单季,A1,平旱地,2,2.8527804236319407
2024,单季,A1,平旱地,5,67.82415636244605
2024,单季,A2,平旱地,4,50.31560992264961
2024,单季,A2,平旱地,9,3.1143340892941174
2024,单季,A2,平旱地,10,1.570055988056272
2024,单季,A3,平旱地,3,20.906585208969872
2024,单季,A3,平旱地,8,11.90892112342726
2024,单季,A3,平旱地,14,2.184493667602867
2024,单季,A4,平旱地,5,56.481197847429954
2024,单季,A4,平旱地,6,15.518802152570046
2024,单季,A5,平旱地,7,9.679523370740496
2024,单季,A5,平旱地,12,0.8015505892995486
2024,单季,A5,平旱地,15,57.51892603995995
2024,单季,A6,平旱地,11,53.9188662819473
2024,单季,A6,平旱地,13,1.0811337180526999
2024,单季,B1,梯田,3,59.99999999999999
2024,单季,B10,梯田,3,25.0
2024,单季,B11,梯田,4,60.0
2024,单季,B12,梯田,11,45.0
2024,单季,B13,梯田,3,35.0
2024,单季,B14,梯田,11,20.0
2024,单季,B2,梯田,4,46.0
2024,单季,B3,梯田,11,40.0
2024,单季,B4,梯田,11,27.999999999999996
2024,单季,B5,梯田,3,25.0
2024,单季,B6,梯田,4,86.0
2024,单季,B7,梯田,11,55.0
2024,单季,B8,梯田,15,44.0
2024,单季,B9,梯田,11,50.0
2024,单季,C1,山坡地,4,15.000000000000002
2024,单季,C2,山坡地,4,13.0
2024,单季,C3,山坡地,5,15.000000000000002
2024,单季,C4,山坡地,4,18.0
2024,单季,C5,山坡地,5,27.0
2024,单季,C6,山坡地,11,20.0
2024,第一季,D1,水浇地,16,15.0
2024,第一季,D2,水浇地,16,10.0
2024,第一季,D3,水浇地,16,14.0
2024,第一季,D4,水浇地,16,6.0
2024,第一季,D5,水浇地,16,10.0
2024,第一季,D6,水浇地,16,12.0
2024,第一季,D7,水浇地,34,22.0
2024,第二季,D7,水浇地,35,9.992281953745547
2024,第二季,D7,水浇地,36,8.249721636500343
2024,第二季,D7,水浇地,37,3.75799640975411
2024,第一季,D8,水浇地,18,19.88566582846814
2024,第一季,D8,水浇地,19,0.11433417153185917
2024,第二季,D8,水浇地,36,19.759109626907705
2024,第二季,D8,水浇地,37,0.24089037309229464
2024,第一季,E1,普通大棚,34,0.5999999999999999
2024,第二季,E1,普通大棚,41,0.6
2024,第一季,E10,普通大棚,34,0.6
2024,第二季,E10,普通大棚,39,0.6
2024,第一季,E11,普通大棚,34,0.6
2024,第二季,E11,普通大棚,38,0.4541972300600323
2024,第二季,E11,普通大棚,39,0.14580276993996769
2024,第一季,E12,普通大棚,34,0.6
2024,第二季,E12,普通大棚,39,0.6
2024,第一季,E13,普通大棚,33,0.016335588019957964
2024,第一季,E13,普通大棚,34,0.583664411980042
2024,第二季,E13,普通大棚,39,0.6
2024,第一季,E14,普通大棚,34,0.6
2024,第二季,E14,普通大棚,39,0.13206471970734068
2024,第二季,E14,普通大棚,41,0.46793528029265935
2024,第一季,E15,普通大棚,34,0.6
2024,第二季,E15,普通大棚,39,0.6
2024,第一季,E16,普通大棚,23,0.015152769022109441
2024,第一季,E16,普通大棚,27,0.05027877582974898
2024,第一季,E16,普通大棚,34,0.5345684551481416
2024,第二季,E16,普通大棚,39,0.6
2024,第一季,E2,普通大棚,34,0.6
2024,第二季,E2,普通大棚,39,0.6
2024,第一季,E3,普通大棚,34,0.6
2024,第二季,E3,普通大棚,39,0.6
2024,第一季,E4,普通大棚,34,0.6
2024,第二季,E4,普通大棚,39,0.6
2024,第一季,E5,普通大棚,34,0.6
2024,第二季,E5,普通大棚,39,0.6
2024,第一季,E6,普通大棚,34,0.6
2024,第二季,E6,普通大棚,39,0.6
2024,第一季,E7,普通大棚,34,0.6
2024,第二季,E7,普通大棚,39,0.6
2024,第一季,E8,普通大棚,18,0.6
2024,第二季,E8,普通大棚,39,0.6
2024,第一季,E9,普通大棚,34,0.6
2024,第二季,E9,普通大棚,39,0.15959130493262666
2024,第二季,E9,普通大棚,40,0.44040869506737335
2024,第一季,F1,智慧大棚,20,0.6
2024,第二季,F1,智慧大棚,25,0.05539944017302856
2024,第二季,F1,智慧大棚,28,0.5446005598269714
2024,第一季,F2,智慧大棚,18,0.01745941854283778
2024,第一季,F2,智慧大棚,34,0.5825405814571623
2024,第二季,F2,智慧大棚,17,0.38468170652056904
2024,第二季,F2,智慧大棚,24,0.16148562223301538
2024,第二季,F2,智慧大棚,29,0.05383267124641557
2024,第一季,F3,智慧大棚,34,0.6
2024,第二季,F3,智慧大棚,21,0.5444708842093161
2024,第二季,F3,智慧大棚,26,0.05552911579068387
2024,第一季,F4,智慧大棚,18,0.3707828798087332
2024,第一季,F4,智慧大棚,20,0.04624676780104664
2024,第一季,F4,智慧大棚,21,0.18297035239022014
2024,第二季,F4,智慧大棚,17,0.22921712019126678
2024,第二季,F4,智慧大棚,22,0.3527375801536048
2024,第二季,F4,智慧大棚,32,0.01804529965512841
2025,单季,A1,平旱地,3,67.9495309492281
2025,单季,A1,平旱地,7,10.482923903781838
2025,单季,A1,平旱地,10,1.567545146990057
2025,单季,A2,平旱地,3,36.76507692683438
2025,单季,A2,平旱地,6,17.125165255231558
2025,单季,A2,平旱地,13,1.1097578179340601
2025,单季,A3,平旱地,1,9.457614344777493
2025,单季,A3,平旱地,2,2.737625088411194
2025,单季,A3,平旱地,5,22.804760566811314
2025,单季,A4,平旱地,4,72.0
2025,单季,A5,平旱地,5,52.893158561766086
2025,单季,A5,平旱地,8,12.007831680138917
2025,单季,A5,平旱地,9,3.099009758094997
2025,单季,A6,平旱地,5,51.94216483429895
2025,单季,A6,平旱地,12,0.7933182444637578
2025,单季,A6,平旱地,14,2.2645169212372958
2025,单季,B1,梯田,5,60.0
2025,单季,B10,梯田,4,25.0
2025,单季,B11,梯田,15,60.0
2025,单季,B12,梯田,5,45.0
2025,单季,B13,梯田,11,35.0
2025,单季,B14,梯田,5,20.0
2025,单季,B2,梯田,3,46.0
2025,单季,B3,梯田,15,40.0
2025,单季,B4,梯田,5,28.0
2025,单季,B5,梯田,15,25.0
2025,单季,B6,梯田,11,86.0
2025,单季,B7,梯田,4,55.0
2025,单季,B8,梯田,5,44.0
2025,单季,B9,梯田,3,50.0
2025,单季,C1,山坡地,3,15.0
2025,单季,C2,山坡地,11,13.0
2025,单季,C3,山坡地,11,15.0
2025,单季,C4,山坡地,5,18.0
2025,单季,C5,山坡地,3,27.0
2025,单季,C6,山坡地,5,20.0
2025,第一季,D1,水浇地,18,15.0
2025,第二季,D1,水浇地,35,0.07452011816248572
2025,第二季,D1,水浇地,36,14.925479881837514
2025,第一季,D2,水浇地,18,10.0
2025,第二季,D2,水浇地,36,10.0
2025,第一季,D3,水浇地,18,14.0
2025,第二季,D3,水浇地,36,14.0
2025,第一季,D4,水浇地,18,6.0
2025,第二季,D4,水浇地,37,6.0
2025,第一季,D5,水浇地,18,10.0
2025,第二季,D5,水浇地,35,10.0
2025,第一季,D6,水浇地,18,12.0
2025,第二季,D6,水浇地,36,12.0
2025,第一季,D7,水浇地,16,22.0
2025,第一季,D8,水浇地,16,20.0
2025,第一季,E1,普通大棚,18,0.6
2025,第二季,E1,普通大棚,39,0.6
2025,第一季,E10,普通大棚,24,0.04828106138823022
2025,第一季,E10,普通大棚,34,0.5517189386117698
2025,第二季,E10,普通大棚,40,0.44033334754271347
2025,第二季,E10,普通大棚,41,0.15966665245728656
2025,第一季,E11,普通大棚,18,0.6
2025,第二季,E11,普通大棚,39,0.6
2025,第一季,E12,普通大棚,18,0.5999999999999998
2025,第二季,E12,普通大棚,39,0.6
2025,第一季,E13,普通大棚,18,0.6
2025,第二季,E13,普通大棚,39,0.6
2025,第一季,E14,普通大棚,18,0.6
2025,第二季,E14,普通大棚,38,0.4400996245971625
2025,第二季,E14,普通大棚,41,0.15990037540283747
2025,第一季,E15,普通大棚,18,0.5999999999999999
2025,第二季,E15,普通大棚,39,0.6
2025,第一季,E16,普通大棚,18,0.6
2025,第二季,E16,普通大棚,39,0.6
2025,第一季,E2,普通大棚,18,0.6
2025,第二季,E2,普通大棚,39,0.6
2025,第一季,E3,普通大棚,18,0.5835097713228654
2025,第一季,E3,普通大棚,33,0.016490228677134552
2025,第二季,E3,普通大棚,39,0.6
2025,第一季,E4,普通大棚,18,0.6
2025,第二季,E4,普通大棚,39,0.6
2025,第一季,E5,普通大棚,18,0.6
2025,第二季,E5,普通大棚,39,0.4581304899898077
2025,第二季,E5,普通大棚,41,0.14186951001019232
2025,第一季,E6,普通大棚,18,0.6000000000000001
2025,第二季,E6,普通大棚,39,0.6
2025,第一季,E7,普通大棚,18,0.6
2025,第二季,E7,普通大棚,39,0.6
2025,第一季,E8,普通大棚,34,0.6
2025,第二季,E8,普通大棚,41,0.6
2025,第一季,E9,普通大棚,18,0.6
2025,第二季,E9,普通大棚,39,0.6
2025,第一季,F1,智慧大棚,34,0.6
2025,第二季,F1,智慧大棚,21,0.03541304068509311
2025,第二季,F1,智慧大棚,28,0.5291418735585092
2025,第二季,F1,智慧大棚,30,0.0354450857563977
2025,第一季,F2,智慧大棚,21,0.19030292726022682
2025,第一季,F2,智慧大棚,25,0.04987907895527158
2025,第一季,F2,智慧大棚,34,0.3598179937845016
2025,第二季,F2,智慧大棚,17,0.1336656617984353
2025,第二季,F2,智慧大棚,22,0.3526670891404644
2025,第二季,F2,智慧大棚,27,0.1136672490611002
2025,第一季,F3,智慧大棚,20,0.09175155334620377
