source,target,type,group,source_label
1,2,substitute,0,simulated_assumption
1,3,substitute,0,simulated_assumption
1,4,substitute,0,simulated_assumption
1,5,substitute,0,simulated_assumption
2,3,substitute,0,simulated_assumption
2,4,substitute,0,simulated_assumption
2,5,substitute,0,simulated_assumption
3,4,substitute,0,simulated_assumption
3,5,substitute,0,simulated_assumption
4,5,substitute,0,simulated_assumption
6,7,substitute,1,simulated_assumption
6,8,substitute,1,simulated_assumption
6,9,substitute,1,simulated_assumption
6,10,substitute,1,simulated_assumption
6,11,substitute,1,simulated_assumption
6,14,substitute,1,simulated_assumption
6,15,substitute,1,simulated_assumption
6,16,substitute,1,simulated_assumption
7,8,substitute,1,simulated_assumption
7,9,substitute,1,simulated_assumption
7,10,substitute,1,simulated_assumption
7,11,substitute,1,simulated_assumption
7,14,substitute,1,simulated_assumption
7,15,substitute,1,simulated_assumption
7,16,substitute,1,simulated_assumption
8,9,substitute,1,simulated_assumption
8,10,substitute,1,simulated_assumption
8,11,substitute,1,simulated_assumption
8,14,substitute,1,simulated_assumption
8,15,substitute,1,simulated_assumption
8,16,substitute,1,simulated_assumption
9,10,substitute,1,simulated_assumption
9,11,substitute,1,simulated_assumption
9,14,substitute,1,simulated_assumption
9,15,substitute,1,simulated_assumption
9,16,substitute,1,simulated_assumption
10,11,substitute,1,simulated_assumption
10,14,substitute,1,simulated_assumption
10,15,substitute,1,simulated_assumption
10,16,substitute,1,simulated_assumption
11,14,substitute,1,simulated_assumption
11,15,substitute,1,simulated_assumption
11,16,substitute,1,simulated_assumption
14,15,substitute,1,simulated_assumption
14,16,substitute,1,simulated_assumption
15,16,substitute,1,simulated_assumption
12,13,substitute,2,simulated_assumption
17,18,substitute,3,simulated_assumption
17,19,substitute,3,simulated_assumption
18,19,substitute,3,simulated_assumption
21,22,substitute,4,simulated_assumption
21,24,substitute,4,simulated_assumption
21,31,substitute,4,simulated_assumption
22,24,substitute,4,simulated_assumption
22,31,substitute,4,simulated_assumption
24,31,substitute,4,simulated_assumption
23,27,substitute,5,simulated_assumption
23,28,substitute,5,simulated_assumption
23,30,substitute,5,simulated_assumption
23,32,substitute,5,simulated_assumption
23,33,substitute,5,simulated_assumption
23,34,substitute,5,simulated_assumption
27,28,substitute,5,simulated_assumption
27,30,substitute,5,simulated_assumption
27,32,substitute,5,simulated_assumption
27,33,substitute,5,simulated_assumption
27,34,substitute,5,simulated_assumption
28,30,substitute,5,simulated_assumption
28,32,substitute,5,simulated_assumption
28,33,substitute,5,simulated_assumption
28,34,substitute,5,simulated_assumption
30,32,substitute,5,simulated_assumption
30,33,substitute,5,simulated_assumption
30,34,substitute,5,simulated_assumption
32,33,substitute,5,simulated_assumption
32,34,substitute,5,simulated_assumption
33,34,substitute,5,simulated_assumption
25,26,substitute,6,simulated_assumption
25,35,substitute,6,simulated_assumption
26,35,substitute,6,simulated_assumption
20,36,substitute,7,simulated_assumption
20,37,substitute,7,simulated_assumption
36,37,substitute,7,simulated_assumption
38,39,substitute,8,simulated_assumption
38,40,substitute,8,simulated_assumption
38,41,substitute,8,simulated_assumption
39,40,substitute,8,simulated_assumption
39,41,substitute,8,simulated_assumption
40,41,substitute,8,simulated_assumption
