year,season,plot_id,plot_type,crop_id,area_mu
2024,单季,A1,平旱地,7,80.0
2024,单季,A2,平旱地,4,55.0
2024,单季,A3,平旱地,6,18.636363636363637
2024,单季,A3,平旱地,13,16.363636363636363
2024,单季,A4,平旱地,6,72.0
2024,单季,A5,平旱地,6,56.3
2024,单季,A5,平旱地,12,11.700000000000003
2024,单季,A6,平旱地,7,55.0
2024,单季,B1,梯田,2,59.99999999999995
2024,单季,B10,梯田,3,25.0
2024,单季,B11,梯田,6,10.201923076922975
2024,单季,B11,梯田,9,49.79807692307702
2024,单季,B12,梯田,2,45.00000000000004
2024,单季,B13,梯田,2,35.0
2024,单季,B14,梯田,7,7.829681174089045
2024,单季,B14,梯田,8,12.17031882591099
2024,单季,B2,梯田,8,46.0
2024,单季,B3,梯田,8,40.0
2024,单季,B4,梯田,8,28.0
2024,单季,B5,梯田,10,24.999999999999787
2024,单季,B6,梯田,6,66.49142390504265
2024,单季,B6,梯田,14,19.50857609495735
2024,单季,B7,梯田,5,44.034387651823636
2024,单季,B7,梯田,8,10.965612348179022
2024,单季,B8,梯田,3,34.16842105263157
2024,单季,B8,梯田,6,9.831578947368428
2024,单季,B9,梯田,8,50.0
2024,单季,C1,山坡地,4,15.0
2024,单季,C2,山坡地,11,13.0
2024,单季,C3,山坡地,11,15.0
2024,单季,C4,山坡地,4,17.999999999999748
2024,单季,C5,山坡地,4,11.171111111111344
2024,单季,C5,山坡地,11,15.828888888888656
2024,单季,C6,山坡地,11,20.0
2024,第一季,D1,水浇地,29,15.0
2024,第二季,D1,水浇地,36,15.0
2024,第一季,D2,水浇地,17,3.2799999999999967
2024,第一季,D2,水浇地,29,6.720000000000003
2024,第二季,D2,水浇地,36,10.0
2024,第一季,D3,水浇地,29,14.0
2024,第二季,D3,水浇地,35,14.000000000000009
2024,第一季,D4,水浇地,17,6.0
2024,第二季,D4,水浇地,35,6.0
2024,第一季,D5,水浇地,29,10.0
2024,第二季,D5,水浇地,36,10.0
2024,第一季,D6,水浇地,29,12.0
2024,第二季,D6,水浇地,37,12.0
2024,第一季,D7,水浇地,29,22.0
2024,第二季,D7,水浇地,35,22.0
2024,第一季,D8,水浇地,29,20.0
2024,第二季,D8,水浇地,36,20.0
2024,第一季,E1,普通大棚,29,0.6
2024,第二季,E1,普通大棚,38,0.6
2024,第一季,E10,普通大棚,29,0.6
2024,第二季,E10,普通大棚,38,0.6
2024,第一季,E11,普通大棚,29,0.6
2024,第二季,E11,普通大棚,38,0.6
