seq,crop_id,crop_name,plot_type,season,yield_jin_per_mu,cost_yuan_per_mu,price_raw,price_low,price_high
1,1,黄豆,平旱地,单季,400.0,400.0,2.50-4.00,2.5,4.0
2,2,黑豆,平旱地,单季,500.0,400.0,6.50-8.50,6.5,8.5
3,3,红豆,平旱地,单季,400.0,350.0,7.50-9.00,7.5,9.0
4,4,绿豆,平旱地,单季,350.0,350.0,6.00-8.00,6.0,8.0
5,5,爬豆,平旱地,单季,415.0,350.0,6.00-7.50,6.0,7.5
6,6,小麦,平旱地,单季,800.0,450.0,3.00-4.00,3.0,4.0
7,7,玉米,平旱地,单季,1000.0,500.0,2.50-3.50,2.5,3.5
8,8,谷子,平旱地,单季,400.0,360.0,6.00-7.50,6.0,7.5
9,9,高粱,平旱地,单季,630.0,400.0,5.50-6.50,5.5,6.5
10,10,黍子,平旱地,单季,525.0,360.0,6.50-8.50,6.5,8.5
11,11,荞麦,平旱地,单季,110.0,350.0,30.00-50.00,30.0,50.0
12,12,南瓜,平旱地,单季,3000.0,1000.0,1.00-2.00,1.0,2.0
13,13,红薯,平旱地,单季,2200.0,2000.0,2.50-4.00,2.5,4.0
14,14,莜麦,平旱地,单季,420.0,400.0,5.00-6.00,5.0,6.0
15,15,大麦,平旱地,单季,525.0,350.0,3.00-4.00,3.0,4.0
16,1,黄豆,梯田,单季,380.0,400.0,2.50-4.00,2.5,4.0
17,2,黑豆,梯田,单季,475.0,400.0,6.50-8.50,6.5,8.5
18,3,红豆,梯田,单季,380.0,350.0,7.50-9.00,7.5,9.0
19,4,绿豆,梯田,单季,330.0,350.0,6.00-8.00,6.0,8.0
20,5,爬豆,梯田,单季,395.0,350.0,6.00-7.50,6.0,7.5
21,6,小麦,梯田,单季,760.0,450.0,3.00-4.00,3.0,4.0
22,7,玉米,梯田,单季,950.0,500.0,2.50-3.50,2.5,3.5
23,8,谷子,梯田,单季,380.0,360.0,6.00-7.50,6.0,7.5
24,9,高粱,梯田,单季,600.0,400.0,5.50-6.50,5.5,6.5
25,10,黍子,梯田,单季,500.0,360.0,6.50-8.50,6.5,8.5
26,11,荞麦,梯田,单季,105.0,350.0,30.00-50.00,30.0,50.0
27,12,南瓜,梯田,单季,2850.0,1000.0,1.00-2.00,1.0,2.0
28,13,红薯,梯田,单季,2100.0,2000.0,2.50-4.00,2.5,4.0
29,14,莜麦,梯田,单季,400.0,400.0,5.00-6.00,5.0,6.0
30,15,大麦,梯田,单季,500.0,350.0,3.00-4.00,3.0,4.0
31,1,黄豆,山坡地,单季,360.0,400.0,2.50-4.00,2.5,4.0
32,2,黑豆,山坡地,单季,450.0,400.0,6.50-8.50,6.5,8.5
33,3,红豆,山坡地,单季,360.0,350.0,7.50-9.00,7.5,9.0
34,4,绿豆,山坡地,单季,315.0,350.0,6.00-8.00,6.0,8.0
35,5,爬豆,山坡地,单季,375.0,350.0,6.00-7.50,6.0,7.5
36,6,小麦,山坡地,单季,720.0,450.0,3.00-4.00,3.0,4.0
37,7,玉米,山坡地,单季,900.0,500.0,2.50-3.50,2.5,3.5
38,8,谷子,山坡地,单季,360.0,360.0,6.00-7.50,6.0,7.5
39,9,高粱,山坡地,单季,570.0,400.0,5.50-6.50,5.5,6.5
40,10,黍子,山坡地,单季,475.0,360.0,6.50-8.50,6.5,8.5
41,11,荞麦,山坡地,单季,100.0,350.0,30.00-50.00,30.0,50.0
42,12,南瓜,山坡地,单季,2700.0,1000.0,1.00-2.00,1.0,2.0
43,13,红薯,山坡地,单季,2000.0,2000.0,2.50-4.00,2.5,4.0
44,14,莜麦,山坡地,单季,380.0,400.0,5.00-6.00,5.0,6.0
45,15,大麦,山坡地,单季,475.0,350.0,3.00-4.00,3.0,4.0
46,16,水稻,水浇地,单季,500.0,680.0,6.00-8.00,6.0,8.0
47,17,豇豆,水浇地,第一季,3000.0,2000.0,7.00-9.00,7.0,9.0
48,18,刀豆,水浇地,第一季,2000.0,1000.0,5.50-8.00,5.5,8.0
49,19,芸豆,水浇地,第一季,3000.0,2000.0,5.00-8.00,5.0,8.0
50,20,土豆,水浇地,第一季,2000.0,2000.0,3.00-4.50,3.0,4.5
51,21,西红柿,水浇地,第一季,2400.0,2000.0,5.00-7.50,5.0,7.5
52,22,茄子,水浇地,第一季,6400.0,2000.0,5.00-6.00,5.0,6.0
53,23,菠菜,水浇地,第一季,2700.0,2300.0,4.80-6.70,4.8,6.7
54,24,青椒,水浇地,第一季,2400.0,1600.0,4.00-6.50,4.0,6.5
55,25,菜花,水浇地,第一季,3300.0,2400.0,5.00-6.00,5.0,6.0
56,26,包菜,水浇地,第一季,3700.0,2900.0,5.50-7.50,5.5,7.5
