crop_id,crop_name,plot_type,season,yield_jin_per_mu,cost_yuan_per_mu,price_low,price_high,derived_from
17,豇豆,智慧大棚,第一季,3600.0,2400.0,7.0,9.0,普通大棚第一季(附件2注2)
18,刀豆,智慧大棚,第一季,2400.0,1200.0,5.5,8.0,普通大棚第一季(附件2注2)
19,芸豆,智慧大棚,第一季,3600.0,2400.0,5.0,8.0,普通大棚第一季(附件2注2)
20,土豆,智慧大棚,第一季,2400.0,2400.0,3.0,4.5,普通大棚第一季(附件2注2)
21,西红柿,智慧大棚,第一季,3000.0,2400.0,5.0,7.5,普通大棚第一季(附件2注2)
22,茄子,智慧大棚,第一季,8000.0,2400.0,5.0,6.0,普通大棚第一季(附件2注2)
23,菠菜,智慧大棚,第一季,3300.0,2700.0,4.8,6.7,普通大棚第一季(附件2注2)
24,青椒,智慧大棚,第一季,3000.0,2000.0,4.0,6.5,普通大棚第一季(附件2注2)
25,菜花,智慧大棚,第一季,4000.0,3000.0,5.0,6.0,普通大棚第一季(附件2注2)
26,包菜,智慧大棚,第一季,4500.0,3500.0,5.5,7.5,普通大棚第一季(附件2注2)
27,油麦菜,智慧大棚,第一季,5000.0,2000.0,4.0,6.0,普通大棚第一季(附件2注2)
28,小青菜,智慧大棚,第一季,4000.0,2000.0,5.0,6.5,普通大棚第一季(附件2注2)
29,黄瓜,智慧大棚,第一季,15000.0,3500.0,6.0,8.0,普通大棚第一季(附件2注2)
30,生菜,智慧大棚,第一季,5000.0,2000.0,4.5,6.0,普通大棚第一季(附件2注2)
31,辣椒,智慧大棚,第一季,2000.0,1200.0,6.0,8.5,普通大棚第一季(附件2注2)
32,空心菜,智慧大棚,第一季,12000.0,5000.0,3.0,6.0,普通大棚第一季(附件2注2)
33,黄心菜,智慧大棚,第一季,6000.0,2500.0,4.0,5.0,普通大棚第一季(附件2注2)
34,芹菜,智慧大棚,第一季,6600.0,1100.0,3.2,4.8,普通大棚第一季(附件2注2)
